time,top_temp,croplvl_temp,air_temp,outside_temp,solar_angle,humidity,solar,temperature,pressure,GH_T_air,GH_T_top,GH_T_bottle,GH_T_ground,GH_T_wall_ext,GH_T_wall_int,GH_humidity,crop_mass,T_ext,Q_wall_solar,Q_wall_ext_conv,Q_wall_rad_ext,Q_wall_ext_cond,Q_wall_int_conv,Q_net_ext,Q_net_int,T_wall_ext_new,T_wall_int_new,Q_top_solar,Q_top_cond,Q_top_conv,Q_top_rad,Q_top_vent,Q_roof_int_conv,Q_roof_int_rad,roof_rho,roof_cp,Q_air_cond,Q_air_conv,Q_air_rad,Q_air_vent,Q_air_internal,Q_wall_air_conv,Q_wall_air_rad,RH_air_new,Q_top_net,T_top_new,Q_air_net,T_air_new
2025-02-16 11:00:00,40.47666666666667,27.063333333333333,28.045,21.279999999999998,24.53,64.1,944.0,21.279999999999998,721,27.81591541321713,40.06002716719703,37.54,18.042515045685217,43.07101324583207,43.07101324583207,86.98885775535075,3.0,21.279999999999998,2643034.604501619,370.437592452706,2020.610709903108,0.0,295.2746993404454,2050539.758003937,2050539.758003937,43.07101324583207,43.07101324583207,16981018.002067726,4669.592275506618,46.69592275506618,2827.8070915884014,5149636.469621886,28721.594888768705,2388.715390434003,1000,1500,150325.78622452109,75.16289311226055,398.4415516460901,653170.0657402262,-28721.594888768705,295.2746993404454,1622.1691582570181,86.98885775535075,11792727.126876788,40.06002716719703,4002079.016044973,27.81591541321713
2025-02-16 12:00:00,41.37,28.875,30.013333333333332,22.7,10.82,56.66,738.0,22.7,721,30.161184443365563,42.22345654306633,37.54,18.63805837298487,46.3596518137312,46.3596518137312,73.72543054875031,3.0,22.7,2066270.6971633423,1070.0771031956112,6330.8451071504,0.0,801.3411360885633,457526.3158461724,457526.3158461724,46.3596518137312,46.3596518137312,14333044.35128591,9135.887897009106,91.35887897009107,5856.481880777314,10145245.901103182,47252.965845429375,4233.813108048541,1000,1500,537471.9342140959,268.735967107048,1472.4456461233951,2351596.399153704,-47252.965845429375,801.3411360885633,4858.399461027005,73.72543054875031,4121227.942572493,42.22345654306633,2246974.462856313,30.161184443365563
2025-02-16 13:00:00,43.485,29.313333333333333,30.259999999999998,23.315,7.21,40.89,653.0,23.315,721,31.21821103845612,43.15144779961009,37.54,19.34022144650898,47.21897495954457,47.21897495954457,59.63845085994591,3.0,23.315,1828285.5897664803,1210.5217329842117,7301.782959410216,0.0,850.8957718848845,119551.88899840019,119551.88899840019,47.21897495954457,47.21897495954457,12809671.892518308,9950.764340354082,99.50764340354083,6467.469709727627,11037800.94169949,46551.20297804917,4263.395297963709,1000,1500,719251.9221986539,359.62596109932696,2000.0260224864921,3143419.384454871,-46551.20297804917,850.8957718848845,5301.7569369237235,59.63845085994591,1704538.610849321,43.15144779961009,991777.7544047884,31.21821103845612
2025-02-16 14:00:00,40.05333333333333,28.57,29.48,23.43,20.16,52.76,962.0,23.43,721,33.321656574187166,47.1742267246534,37.54,20.064008171415782,54.444545739166905,54.444545739166905,52.756025543442355,3.0,23.43,2693431.450773896,1249.6205812399005,7574.108437924697,0.0,840.5105283164236,1005245.3957560482,1005245.3957560482,54.444545739166905,54.444545739166905,17856242.52048589,10378.609119022803,103.78609119022803,6780.64640802003,11452932.13404871,46053.22463811585,4258.471429117064,1000,1500,818220.1058469537,409.11005292347687,2288.6775347267935,3557483.200027501,-46053.22463811585,840.5105283164236,5285.430903197903,52.756025543442355,6335735.648751713,47.1742267246534,1719980.2652491657,33.321656574187166
2025-02-16 15:00:00,40.156666666666666,28.373333333333335,29.675,24.706666666666667,34.34,60.7,190.0,24.706666666666667,721,31.004541917295963,41.47171083141271,37.54,20.87186457195627,42.2496183268871,42.2496183268871,49.35599453770496,3.0,24.706666666666667,531966.7106518089,1562.112944950994,9872.651452258615,0.0,1109.5726941028868,-1696598.7887553752,-1696598.7887553752,42.2496183268871,42.2496183268871,3102064.814441115,11823.778156116097,118.23778156116097,7929.1998601455125,13046054.650580062,53460.39282748531,5091.834304874884,1000,1500,905080.5016962147,452.54025084810735,2574.6884567778966,3934642.774971972,-53460.39282748531,1109.5726941028868,7297.962995480719,49.35599453770496,-10022413.27906913,41.47171083141271,-1902117.9199941545,31.004541917295963
2025-02-16 16:00:00,27.803333333333335,24.053333333333335,24.561666666666667,22.001666666666665,48.64,47.01,244.0,22.001666666666665,721,26.45139630449635,34.685049093684086,37.54,21.48930048512569,38.62686217338087,38.62686217338087,44.18198193218344,3.0,22.001666666666665,683157.2494686389,1063.6127519403835,6245.795230092445,0.0,590.6971167499768,-504009.86362621665,-504009.86362621665,38.62686217338087,38.62686217338087,3188045.5214982266,10246.30544213925,102.4630544213925,6592.775492615255,11242207.948756719,40395.3169601159,3700.904056302115,1000,1500,945831.2703808134,472.9156351904067,2624.148302544326,4088774.540494106,-40395.3169601159,590.6971167499768,3621.64692754812,44.18198193218344,-8115200.192264085,34.685049093684086,-3099542.4425303508,26.45139630449635
2025-02-16 17:00:00,19.490000000000002,19.095000000000002,18.988333333333333,17.5,62.92,53.1,139.0,17.5,721,17.577450472759512,23.082200068818317,37.54,21.79166639090245,32.188293938289206,32.188293938289206,42.948900416061484,3.0,17.5,389175.6462136918,1109.7813938503932,6261.012977256742,0.0,639.5699168129827,-895754.9889124928,-895754.9889124928,32.188293938289206,32.188293938289206,1251186.7685646184,9043.803936042184,90.43803936042185,5500.751812609205,9843808.157399295,31775.642190144878,2753.774006473614,1000,1500,940422.9540748211,470.21147703741053,2492.6686078022085,30110257.758503903,-31775.642190144878,639.5699168129827,3768.344369454533,42.948900416061484,-8641785.798819305,23.082200068818317,-29491486.48188799,17.577450472759512
2025-02-16 18:00:00,17.501666666666665,17.65,17.56833333333333,16.55,77.09,72.94,7.0,16.55,721,16.38177706373452,12.66919928541337,37.54,21.534872636889506,21.264111333133123,21.264111333133123,58.899422850971796,3.0,16.55,19598.773550329803,821.4701976019691,4463.615746366204,0.0,767.4988407381956,-1519808.552315564,-1519808.552315564,21.264111333133123,21.264111333133123,30923.815737305733,3437.635608216326,34.37635608216326,1960.6901742728073,36721439.222927116,21244.14983109398,1660.9399528945291,1000,1500,107942.71372754697,53.97135686377349,272.00000136241204,4543058.889603463,-21244.14983109398,767.4988407381956,4191.615745003792,58.899422850971796,-36718853.19911237,12.66919928541337,-3127295.5034551416,16.38177706373452
2025-02-16 19:00:00,16.956666666666667,17.35,17.253333333333334,16.12666666666667,91.19,87.93,0.0,16.12666666666667,721,16.18562645758823,20.15477963374388,37.54,21.220868138135422,17.56737665582458,17.56737665582458,76.15447784472136,3.0,16.12666666666667,0.0,269.866885862683,1383.2227204906621,0.0,256.4660897709469,-514302.0014662927,-514302.0014662927,17.56737665582458,17.56737665582458,-0.0,-1819.5267840583608,-18.195267840583607,-981.17833489413,-19488718.987082735,-14327.728665208118,-1054.9834125985108,1000,1500,26801.59218347211,13.400796091736055,66.97236500389538,1131046.9017751692,14327.728665208118,256.4660897709469,1316.250355486767,76.15447784472136,19506920.59954733,20.15477963374388,-628591.2323181159,16.18562645758823
2025-02-16 20:00:00,16.44,16.84,16.74833333333333,15.698333333333332,104.98,94.68,0.0,15.698333333333332,721,15.660914075005072,15.267810415325851,37.54,20.914045080507197,16.52059297570473,16.52059297570473,88.98262711478937,3.0,15.698333333333332,0.0,98.17972430447183,492.6003890597282,0.0,72.58250886323654,-145632.02090009156,-145632.02090009156,16.52059297570473,16.52059297570473,-0.0,2345.2494300540534,23.452494300540536,1311.8350305767938,5574554.27954686,15317.914703546918,1171.313738639276,1000,1500,51194.43088247058,25.597215441235292,127.5121380151298,2167992.6919268793,-15317.914703546918,72.58250886323654,365.0882510445984,88.98262711478937,-5594724.044943977,15.267810415325851,-2087572.0031472147,15.660914075005072
